pokemon_id,url_page,pokemon_name,peso,altura,tipo 1,tipo 2,abilities,evolutions
0001,https://pokemondb.net/pokedex/bulbasaur,Bulbasaur,6.9 kg (15.2 lbs),0.7 m (2′04″),Grass,Poison,Overgrow|Chlorophyll|,#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur|#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur|#0002-Ivysaur-https://pokemondb.net/pokedex/ivysaur|#0003-Venusaur-https://pokemondb.net/pokedex/venusaur|
0022,https://pokemondb.net/pokedex/fearow,Fearow,38.0 kg (83.8 lbs),1.2 m (3′11″),Normal,Flying,Keen Eye|Sniper|,#0021-Spearow-https://pokemondb.net/pokedex/spearow|#0021-Spearow-https://pokemondb.net/pokedex/spearow|#0022-Fearow-https://pokemondb.net/pokedex/fearow|
0004,https://pokemondb.net/pokedex/charmander,Charmander,8.5 kg (18.7 lbs),0.6 m (2′00″),Fire,,Blaze|Solar Power|,#0004-Charmander-https://pokemondb.net/pokedex/charmander|#0004-Charmander-https://pokemondb.net/pokedex/charmander|#0005-Charmeleon-https://pokemondb.net/pokedex/charmeleon|#0006-Charizard-https://pokemondb.net/pokedex/charizard|
0021,https://pokemondb.net/pokedex/spearow,Spearow,2.0 kg (4.4 lbs),0.3 m (1′00″),Normal,Flying,Keen Eye|Sniper|,#0021-Spearow-https://pokemondb.net/pokedex/spearow|#0021-Spearow-https://pokemondb.net/pokedex/spearow|#0022-Fearow-https://pokemondb.net/pokedex/fearow|
0003,https://pokemondb.net/pokedex/venusaur,Venusaur,100.0 kg (220.5 lbs),2.0 m (6′07″),Grass,Poison,Overgrow|Chlorophyll|Thick Fat|,#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur|#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur|#0002-Ivysaur-https://pokemondb.net/pokedex/ivysaur|#0003-Venusaur-https://pokemondb.net/pokedex/venusaur|
0005,https://pokemondb.net/pokedex/charmeleon,Charmeleon,19.0 kg (41.9 lbs),1.1 m (3′07″),Fire,,Blaze|Solar Power|,#0004-Charmander-https://pokemondb.net/pokedex/charmander|#0004-Charmander-https://pokemondb.net/pokedex/charmander|#0005-Charmeleon-https://pokemondb.net/pokedex/charmeleon|#0006-Charizard-https://pokemondb.net/pokedex/charizard|
0002,https://pokemondb.net/pokedex/ivysaur,Ivysaur,13.0 kg (28.7 lbs),1.0 m (3′03″),Grass,Poison,Overgrow|Chlorophyll|,#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur|#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur|#0002-Ivysaur-https://pokemondb.net/pokedex/ivysaur|#0003-Venusaur-https://pokemondb.net/pokedex/venusaur|
0025,https://pokemondb.net/pokedex/pikachu,Pikachu,6.0 kg (13.2 lbs),0.4 m (1′04″),Electric,,Static|Lightning Rod|,#0172-Pichu-https://pokemondb.net/pokedex/pichu|#0172-Pichu-https://pokemondb.net/pokedex/pichu|#0025-Pikachu-https://pokemondb.net/pokedex/pikachu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|#0026-Raichu-https://pokemondb.net/pokedex/raichu|
0018,https://pokemondb.net/pokedex/pidgeot,Pidgeot,39.5 kg (87.1 lbs),1.5 m (4′11″),Normal,Flying,Keen Eye|Tangled Feet|Big Pecks|No Guard|,#0016-Pidgey-https://pokemondb.net/pokedex/pidgey|#0016-Pidgey-https://pokemondb.net/pokedex/pidgey|#0017-Pidgeotto-https://pokemondb.net/pokedex/pidgeotto|#0018-Pidgeot-https://pokemondb.net/pokedex/pidgeot|
0016,https://pokemondb.net/pokedex/pidgey,Pidgey,1.8 kg (4.0 lbs),0.3 m (1′00″),Normal,Flying,Keen Eye|Tangled Feet|Big Pecks|,#0016-Pidgey-https://pokemondb.net/pokedex/pidgey|#0016-Pidgey-https://pokemondb.net/pokedex/pidgey|#0017-Pidgeotto-https://pokemondb.net/pokedex/pidgeotto|#0018-Pidgeot-https://pokemondb.net/pokedex/pidgeot|
0024,https://pokemondb.net/pokedex/arbok,Arbok,65.0 kg (143.3 lbs),3.5 m (11′06″),Poison,,Intimidate|Shed Skin|Unnerve|,#0023-Ekans-https://pokemondb.net/pokedex/ekans|#0023-Ekans-https://pokemondb.net/pokedex/ekans|#0024-Arbok-https://pokemondb.net/pokedex/arbok|
0017,https://pokemondb.net/pokedex/pidgeotto,Pidgeotto,30.0 kg (66.1 lbs),1.1 m (3′07″),Normal,Flying,Keen Eye|Tangled Feet|Big Pecks|,#0016-Pidgey-https://pokemondb.net/pokedex/pidgey|#0016-Pidgey-https://pokemondb.net/pokedex/pidgey|#0017-Pidgeotto-https://pokemondb.net/pokedex/pidgeotto|#0018-Pidgeot-https://pokemondb.net/pokedex/pidgeot|
0023,https://pokemondb.net/pokedex/ekans,Ekans,6.9 kg (15.2 lbs),2.0 m (6′07″),Poison,,Intimidate|Shed Skin|Unnerve|,#0023-Ekans-https://pokemondb.net/pokedex/ekans|#0023-Ekans-https://pokemondb.net/pokedex/ekans|#0024-Arbok-https://pokemondb.net/pokedex/arbok|
0019,https://pokemondb.net/pokedex/rattata,Rattata,3.5 kg (7.7 lbs),0.3 m (1′00″),Normal,Normal,Run Away|Guts|Hustle|Gluttony|Hustle|Thick Fat|,#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0020-Raticate-https://pokemondb.net/pokedex/raticate|#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0020-Raticate-https://pokemondb.net/pokedex/raticate|
0015,https://pokemondb.net/pokedex/beedrill,Beedrill,29.5 kg (65.0 lbs),1.0 m (3′03″),Bug,Poison,Swarm|Sniper|Adaptability|,#0013-Weedle-https://pokemondb.net/pokedex/weedle|#0013-Weedle-https://pokemondb.net/pokedex/weedle|#0014-Kakuna-https://pokemondb.net/pokedex/kakuna|#0015-Beedrill-https://pokemondb.net/pokedex/beedrill|
0149,https://pokemondb.net/pokedex/dragonite,Dragonite,210.0 kg (463.0 lbs),2.2 m (7′03″),Dragon,Flying,Inner Focus|Multiscale|,#0147-Dratini-https://pokemondb.net/pokedex/dratini|#0147-Dratini-https://pokemondb.net/pokedex/dratini|#0148-Dragonair-https://pokemondb.net/pokedex/dragonair|#0149-Dragonite-https://pokemondb.net/pokedex/dragonite|
0150,https://pokemondb.net/pokedex/mewtwo,Mewtwo,122.0 kg (269.0 lbs),2.0 m (6′07″),Psychic,Fighting,Pressure|Unnerve|Steadfast|Insomnia|,
0020,https://pokemondb.net/pokedex/raticate,Raticate,18.5 kg (40.8 lbs),0.7 m (2′04″),Normal,Normal,Run Away|Guts|Hustle|Gluttony|Hustle|Thick Fat|,#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0020-Raticate-https://pokemondb.net/pokedex/raticate|#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0019-Rattata-https://pokemondb.net/pokedex/rattata|#0020-Raticate-https://pokemondb.net/pokedex/raticate|
0121,https://pokemondb.net/pokedex/starmie,Starmie,80.0 kg (176.4 lbs),1.1 m (3′07″),Water,Psychic,Illuminate|Natural Cure|Analytic|,#0120-Staryu-https://pokemondb.net/pokedex/staryu|#0120-Staryu-https://pokemondb.net/pokedex/staryu|#0121-Starmie-https://pokemondb.net/pokedex/starmie|
0058,https://pokemondb.net/pokedex/growlithe,Growlithe,19.0 kg (41.9 lbs),0.7 m (2′04″),Fire,Rock,Intimidate|Flash Fire|Justified|Intimidate|Flash Fire|Rock Head|,#0058-Growlithe-https://pokemondb.net/pokedex/growlithe|#0058-Growlithe-https://pokemondb.net/pokedex/growlithe|#0059-Arcanine-https://pokemondb.net/pokedex/arcanine|#0058-Growlithe-https://pokemondb.net/pokedex/growlithe|#0058-Growlithe-https://pokemondb.net/pokedex/growlithe|#0059-Arcanine-https://pokemondb.net/pokedex/arcanine|
0147,https://pokemondb.net/pokedex/dratini,Dratini,3.3 kg (7.3 lbs),1.8 m (5′11″),Dragon,,Shed Skin|Marvel Scale|,#0147-Dratini-https://pokemondb.net/pokedex/dratini|#0147-Dratini-https://pokemondb.net/pokedex/dratini|#0148-Dragonair-https://pokemondb.net/pokedex/dragonair|#0149-Dragonite-https://pokemondb.net/pokedex/dragonite|
