pokemon_id,url_page,pokemon_name,peso,altura,tipo 1,tipo 2,evolucao 1,evolucao 2,evolucao 3,evolucao 4,evolucao 5,evolucao 6,evolucao 7,evolucao 8,evolucao 9,abilidade 1,abilidade 2,abilidade 3,abilidade 4,abilidade 5,abilidade 6
1,https://pokemondb.net/pokedex/ivysaur,Ivysaur,13.0 kg ,1.0 m ,Grass,Poison,#0003-Venusaur-https://pokemondb.net/pokedex/venusaur,#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur,,,,,,,,Chlorophyll,Overgrow,,,,
22,https://pokemondb.net/pokedex/fearow,Fearow,38.0 kg ,1.2 m ,Normal,Flying,,,,,,,,,,Sniper,Keen Eye,,,,
4,https://pokemondb.net/pokedex/charizard,Charizard,90.5 kg ,1.7 m ,Fire,Flying,#0005-Charmeleon-https://pokemondb.net/pokedex/charmeleon,#0004-Charmander-https://pokemondb.net/pokedex/charmander,,,,,,,,Drought,Tough Claws,Solar Power,Blaze,,
21,https://pokemondb.net/pokedex/spearow,Spearow,2.0 kg ,0.3 m ,Normal,Flying,#0022-Fearow-https://pokemondb.net/pokedex/fearow,,,,,,,,,Sniper,Keen Eye,,,,
3,https://pokemondb.net/pokedex/venusaur,Venusaur,100.0 kg ,2.0 m ,Grass,Poison,,,,,,,,,,Thick Fat,Chlorophyll,Overgrow,,,
5,https://pokemondb.net/pokedex/charmeleon,Charmeleon,19.0 kg ,1.1 m ,Fire,,,,,,,,,,,Solar Power,Blaze,,,,
2,https://pokemondb.net/pokedex/ivysaur,Ivysaur,13.0 kg ,1.0 m ,Grass,Poison,,,,,,,,,,Chlorophyll,Overgrow,,,,
25,https://pokemondb.net/pokedex/pikachu,Pikachu,6.0 kg ,0.4 m ,Electric,,,,,,,,,,,Lightning Rod,Static,,,,
18,https://pokemondb.net/pokedex/pidgeot,Pidgeot,39.5 kg ,1.5 m ,Normal,Flying,,,,,,,,,,No Guard,Big Pecks,Tangled Feet,Keen Eye,,
16,https://pokemondb.net/pokedex/pidgeotto,Pidgeotto,30.0 kg ,1.1 m ,Normal,Flying,#0018-Pidgeot-https://pokemondb.net/pokedex/pidgeot,#0016-Pidgey-https://pokemondb.net/pokedex/pidgey,,,,,,,,Big Pecks,Tangled Feet,Keen Eye,,,
24,https://pokemondb.net/pokedex/arbok,Arbok,65.0 kg ,3.5 m ,Poison,,,,,,,,,,,Unnerve,Shed Skin,Intimidate,,,
17,https://pokemondb.net/pokedex/pidgeotto,Pidgeotto,30.0 kg ,1.1 m ,Normal,Flying,,,,,,,,,,Big Pecks,Tangled Feet,Keen Eye,,,
23,https://pokemondb.net/pokedex/ekans,Ekans,6.9 kg ,2.0 m ,Poison,,#0024-Arbok-https://pokemondb.net/pokedex/arbok,,,,,,,,,Unnerve,Shed Skin,Intimidate,,,
19,https://pokemondb.net/pokedex/raticate,Raticate,18.5 kg ,0.7 m ,Normal,Normal,#0019-Rattata-https://pokemondb.net/pokedex/rattata,,,,,,,,,Thick Fat,Hustle,Gluttony,Guts,Run Away,
15,https://pokemondb.net/pokedex/beedrill,Beedrill,29.5 kg ,1.0 m ,Bug,Poison,,,,,,,,,,Adaptability,Sniper,Swarm,,,
149,https://pokemondb.net/pokedex/dragonite,Dragonite,210.0 kg ,2.2 m ,Dragon,Flying,,,,,,,,,,Multiscale,Inner Focus,,,,
150,https://pokemondb.net/pokedex/mewtwo,Mewtwo,122.0 kg ,2.0 m ,Psychic,Fighting,,,,,,,,,,Insomnia,Steadfast,Unnerve,Pressure,,
20,https://pokemondb.net/pokedex/raticate,Raticate,18.5 kg ,0.7 m ,Normal,Normal,,,,,,,,,,Thick Fat,Hustle,Gluttony,Guts,Run Away,
121,https://pokemondb.net/pokedex/starmie,Starmie,80.0 kg ,1.1 m ,Water,Psychic,,,,,,,,,,Analytic,Natural Cure,Illuminate,,,
58,https://pokemondb.net/pokedex/arcanine,Arcanine,155.0 kg ,1.9 m ,Fire,Rock,#0058-Growlithe-https://pokemondb.net/pokedex/growlithe,,,,,,,,,Rock Head,Flash Fire,Intimidate,Justified,,
147,https://pokemondb.net/pokedex/dragonair,Dragonair,16.5 kg ,4.0 m ,Dragon,,#0149-Dragonite-https://pokemondb.net/pokedex/dragonite,#0147-Dratini-https://pokemondb.net/pokedex/dratini,,,,,,,,Marvel Scale,Shed Skin,,,,
148,https://pokemondb.net/pokedex/dragonair,Dragonair,16.5 kg ,4.0 m ,Dragon,,,,,,,,,,,Marvel Scale,Shed Skin,,,,
166,https://pokemondb.net/pokedex/ledian,Ledian,35.6 kg ,1.4 m ,Bug,Flying,,,,,,,,,,Iron Fist,Early Bird,Swarm,,,
193,https://pokemondb.net/pokedex/yanmega,Yanmega,51.5 kg ,1.9 m ,Bug,Flying,#0193-Yanma-https://pokemondb.net/pokedex/yanma,,,,,,,,,Frisk,Tinted Lens,Speed Boost,,,
195,https://pokemondb.net/pokedex/clodsire,Clodsire,223.0 kg ,1.8 m ,Poison,Ground,#0194-Wooper-https://pokemondb.net/pokedex/wooper,#0195-Quagsire-https://pokemondb.net/pokedex/quagsire,,,,,,,,Unaware,Water Absorb,Poison Point,,,
181,https://pokemondb.net/pokedex/ampharos,Ampharos,61.5 kg ,1.4 m ,Electric,Dragon,,,,,,,,,,Mold Breaker,Plus,Static,,,
191,https://pokemondb.net/pokedex/sunflora,Sunflora,8.5 kg ,0.8 m ,Grass,,#0191-Sunkern-https://pokemondb.net/pokedex/sunkern,,,,,,,,,Early Bird,Solar Power,Chlorophyll,,,
194,https://pokemondb.net/pokedex/wooper,Wooper,8.5 kg ,0.4 m ,Water,Ground,,,,,,,,,,Unaware,Water Absorb,Poison Point,Damp,,
192,https://pokemondb.net/pokedex/sunflora,Sunflora,8.5 kg ,0.8 m ,Grass,,,,,,,,,,,Early Bird,Solar Power,Chlorophyll,,,
196,https://pokemondb.net/pokedex/espeon,Espeon,26.5 kg ,0.9 m ,Psychic,,,,,,,,,,,Magic Bounce,Synchronize,,,,
257,https://pokemondb.net/pokedex/blaziken,Blaziken,52.0 kg ,1.9 m ,Fire,Fighting,,,,,,,,,,Speed Boost,Blaze,,,,
256,https://pokemondb.net/pokedex/combusken,Combusken,19.5 kg ,0.9 m ,Fire,Fighting,,,,,,,,,,Speed Boost,Blaze,,,,
254,https://pokemondb.net/pokedex/sceptile,Sceptile,52.2 kg ,1.7 m ,Grass,Dragon,,,,,,,,,,Lightning Rod,Unburden,Overgrow,,,
258,https://pokemondb.net/pokedex/marshtomp,Marshtomp,28.0 kg ,0.7 m ,Water,Ground,#0260-Swampert-https://pokemondb.net/pokedex/swampert,#0258-Mudkip-https://pokemondb.net/pokedex/mudkip,,,,,,,,Damp,Torrent,,,,
255,https://pokemondb.net/pokedex/torchic,Torchic,2.5 kg ,0.4 m ,Fire,,#0257-Blaziken-https://pokemondb.net/pokedex/blaziken,#0256-Combusken-https://pokemondb.net/pokedex/combusken,,,,,,,,Speed Boost,Blaze,,,,
260,https://pokemondb.net/pokedex/swampert,Swampert,81.9 kg ,1.5 m ,Water,Ground,,,,,,,,,,Swift Swim,Damp,Torrent,,,
259,https://pokemondb.net/pokedex/marshtomp,Marshtomp,28.0 kg ,0.7 m ,Water,Ground,,,,,,,,,,Damp,Torrent,,,,
222,https://pokemondb.net/pokedex/cursola,Cursola,0.4 kg ,1.0 m ,Ghost,,#0222-Corsola-https://pokemondb.net/pokedex/corsola,,,,,,,,,Perish Body,Weak Armor,,,,
346,https://pokemondb.net/pokedex/cradily,Cradily,60.4 kg ,1.5 m ,Rock,Grass,,,,,,,,,,Storm Drain,Suction Cups,,,,
340,https://pokemondb.net/pokedex/whiscash,Whiscash,23.6 kg ,0.9 m ,Water,Ground,,,,,,,,,,Hydration,Anticipation,Oblivious,,,
345,https://pokemondb.net/pokedex/lileep,Lileep,23.8 kg ,1.0 m ,Rock,Grass,#0346-Cradily-https://pokemondb.net/pokedex/cradily,,,,,,,,,Storm Drain,Suction Cups,,,,
344,https://pokemondb.net/pokedex/claydol,Claydol,108.0 kg ,1.5 m ,Ground,Psychic,,,,,,,,,,Levitate,,,,,
342,https://pokemondb.net/pokedex/crawdaunt,Crawdaunt,32.8 kg ,1.1 m ,Water,Dark,,,,,,,,,,Adaptability,Shell Armor,Hyper Cutter,,,
341,https://pokemondb.net/pokedex/corphish,Corphish,11.5 kg ,0.6 m ,Water,,#0342-Crawdaunt-https://pokemondb.net/pokedex/crawdaunt,,,,,,,,,Adaptability,Shell Armor,Hyper Cutter,,,
343,https://pokemondb.net/pokedex/baltoy,Baltoy,21.5 kg ,0.5 m ,Ground,Psychic,#0344-Claydol-https://pokemondb.net/pokedex/claydol,,,,,,,,,Levitate,,,,,
394,https://pokemondb.net/pokedex/prinplup,Prinplup,23.0 kg ,0.8 m ,Water,,,,,,,,,,,Defiant,Torrent,,,,
392,https://pokemondb.net/pokedex/infernape,Infernape,55.0 kg ,1.2 m ,Fire,Fighting,,,,,,,,,,Iron Fist,Blaze,,,,
388,https://pokemondb.net/pokedex/grotle,Grotle,97.0 kg ,1.1 m ,Grass,,,,,,,,,,,Shell Armor,Overgrow,,,,
391,https://pokemondb.net/pokedex/monferno,Monferno,22.0 kg ,0.9 m ,Fire,Fighting,,,,,,,,,,Iron Fist,Blaze,,,,
390,https://pokemondb.net/pokedex/chimchar,Chimchar,6.2 kg ,0.5 m ,Fire,,#0392-Infernape-https://pokemondb.net/pokedex/infernape,#0391-Monferno-https://pokemondb.net/pokedex/monferno,,,,,,,,Iron Fist,Blaze,,,,
389,https://pokemondb.net/pokedex/torterra,Torterra,310.0 kg ,2.2 m ,Grass,Ground,,,,,,,,,,Shell Armor,Overgrow,,,,
339,https://pokemondb.net/pokedex/barboach,Barboach,1.9 kg ,0.4 m ,Water,Ground,#0340-Whiscash-https://pokemondb.net/pokedex/whiscash,,,,,,,,,Hydration,Anticipation,Oblivious,,,
393,https://pokemondb.net/pokedex/empoleon,Empoleon,84.5 kg ,1.7 m ,Water,Steel,#0394-Prinplup-https://pokemondb.net/pokedex/prinplup,#0393-Piplup-https://pokemondb.net/pokedex/piplup,,,,,,,,Defiant,Torrent,,,,
433,https://pokemondb.net/pokedex/chimecho,Chimecho,1.0 kg ,0.6 m ,Psychic,,#0433-Chingling-https://pokemondb.net/pokedex/chingling,,,,,,,,,Levitate,,,,,
432,https://pokemondb.net/pokedex/purugly,Purugly,43.8 kg ,1.0 m ,Normal,229,,,,,,,,,,Defiant,Own Tempo,Thick Fat,,,
434,https://pokemondb.net/pokedex/skuntank,Skuntank,38.0 kg ,1.0 m ,Poison,Dark,#0434-Stunky-https://pokemondb.net/pokedex/stunky,,,,,,,,,Keen Eye,Aftermath,Stench,,,
430,https://pokemondb.net/pokedex/honchkrow,Honchkrow,27.3 kg ,0.9 m ,Dark,Flying,,,,,,,,,,Moxie,Super Luck,Insomnia,,,
428,https://pokemondb.net/pokedex/lopunny,Lopunny,33.3 kg ,1.2 m ,Normal,Fighting,,,,,,,,,,Scrappy,Limber,Klutz,Cute Charm,,
427,https://pokemondb.net/pokedex/buneary,Buneary,5.5 kg ,0.4 m ,Normal,,#0428-Lopunny-https://pokemondb.net/pokedex/lopunny,,,,,,,,,Limber,Klutz,Run Away,,,
431,https://pokemondb.net/pokedex/glameow,Glameow,3.9 kg ,0.5 m ,Normal,222,#0432-Purugly-https://pokemondb.net/pokedex/purugly,,,,,,,,,Keen Eye,Own Tempo,Limber,,,
429,https://pokemondb.net/pokedex/mismagius,Mismagius,4.4 kg ,0.9 m ,Ghost,,,,,,,,,,,Levitate,,,,,
